Year,Gtm,Month,Home,Opp,Win,pitchIP,pitchH,pitchR,pitchER,pitchUER,pitchBB,pitchSO,pitchHR,pitchHBP,pitchERA,pitchBF,pitchPit,pitchStr,pitchIR,pitchIS,pitchSB,pitchCS,pitchAB,pitch1B,pitch2B,pitch3B,pitchIBB,pitchSH,pitchSF,pitchROE,pitchGDP,numPitchers,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,Thr,OppStarter,OppGameScore,RD
2023,1,Mar,0,WSN,1,9,8,2,2,0,4,5,0,0,2,38,143,91,3,1,0,0,33,7,1,0,0,0,1,0,1,6,46,40,7,12,10,2,0,0,5,6,0,7,0,0,0,1,1,2,0,0.3,0.391,0.35,0.741,12,10,L,33,5
2023,2,Apr,0,WSN,1,9,5,1,1,0,3,11,1,0,1.5,33,125,87,0,0,0,0,30,3,1,0,0,0,0,0,2,4,37,35,7,11,7,0,0,4,6,2,0,8,0,0,0,0,3,0,0,0.307,0.373,0.493,0.867,3,9,R,35,6
2023,3,Apr,0,WSN,0,8,6,4,4,0,5,4,0,0,2.42,33,127,75,1,0,0,1,27,5,1,0,0,0,1,0,1,3,33,28,1,4,3,1,0,0,1,5,0,6,0,0,0,0,3,0,0,0.262,0.345,0.408,0.753,5,9,L,60,-3
2023,4,Apr,0,STL,1,9,12,4,4,0,3,6,1,0,2.83,42,151,96,1,0,0,0,39,11,0,0,0,0,0,0,0,4,40,35,8,10,4,3,0,3,8,5,0,9,0,0,0,0,1,0,1,0.268,0.353,0.464,0.816,5,9,R,25,4
2023,5,Apr,0,STL,1,9,10,1,1,0,1,6,0,0,2.45,35,134,90,2,0,0,0,34,9,1,0,0,0,0,0,1,6,38,37,4,12,9,1,0,2,4,1,0,12,0,0,0,0,1,1,0,0.28,0.351,0.474,0.825,7,10,L,38,3
2023,6,Apr,0,STL,1,9,6,2,2,0,4,7,1,1,2.38,35,142,88,2,0,0,0,30,2,3,0,0,0,0,0,1,5,38,36,5,10,6,3,0,1,5,1,0,8,0,0,1,0,0,1,0,0.28,0.341,0.469,0.81,6,9,R,39,3
2023,7,Apr,1,SDP,1,9,7,6,6,0,7,12,2,0,2.9,40,183,113,0,0,0,0,33,4,1,0,0,0,0,0,1,5,45,37,7,13,7,5,0,1,7,7,0,7,0,0,1,0,1,1,0,0.29,0.357,0.484,0.841,12,11,L,31,1
2023,8,Apr,1,SDP,0,9,7,5,5,0,6,11,0,0,3.17,40,165,100,2,1,3,0,32,5,2,0,0,1,1,0,0,5,41,33,4,6,5,0,0,1,3,8,0,9,0,0,0,1,1,2,0,0.278,0.355,0.459,0.814,10,9,R,39,-1
2023,9,Apr,1,SDP,0,9,8,4,3,1,5,11,1,1,3.15,41,172,109,2,1,1,0,35,5,2,0,1,0,0,0,1,4,35,32,1,5,3,2,0,0,1,3,0,15,0,0,0,0,0,0,0,0.265,0.343,0.435,0.777,7,11,R,77,-3
2023,10,Apr,1,SDP,0,9,13,10,10,0,3,8,3,1,3.84,42,163,107,1,1,0,0,38,6,4,0,0,0,0,0,1,5,39,33,2,8,8,0,0,0,2,5,0,9,1,0,0,0,2,1,0,0.263,0.344,0.416,0.761,10,11,R,59,-8
2023,11,Apr,1,CIN,1,10,12,4,3,1,1,9,0,0,3.73,40,165,114,1,0,0,0,38,9,2,1,0,1,0,0,3,5,40,35,5,10,7,2,0,1,4,5,0,13,0,0,0,0,2,0,0,0.265,0.347,0.417,0.765,9,11,R,56,1
2023,12,Apr,1,CIN,1,9,8,6,6,0,5,10,1,2,3.92,42,166,108,1,0,3,0,35,5,2,0,0,0,0,0,0,6,40,34,7,11,7,2,0,2,7,6,0,6,0,0,0,0,1,0,0,0.27,0.354,0.429,0.783,9,9,R,26,1
2023,13,Apr,1,CIN,1,9,6,4,4,0,4,14,0,0,3.92,37,163,113,0,0,0,0,33,6,0,0,0,0,0,0,0,4,35,32,5,9,4,4,0,1,5,2,0,14,1,0,0,0,0,2,1,0.271,0.353,0.434,0.787,6,10,R,56,1
2023,14,Apr,0,KCR,1,9,7,3,2,1,2,9,0,1,3.79,37,133,89,0,0,0,0,33,4,2,1,0,0,1,2,1,4,41,38,10,11,3,3,0,5,10,3,0,13,0,0,0,0,0,0,0,0.272,0.352,0.46,0.812,4,9,R,23,7
2023,15,Apr,0,KCR,1,9,11,3,3,0,2,9,0,0,3.73,40,145,95,1,1,1,0,38,5,6,0,0,0,0,0,0,5,46,40,9,14,11,2,0,1,9,4,0,5,2,0,0,0,1,0,0,0.278,0.359,0.461,0.82,10,9,L,29,6